document_section	user_visible_behavior	entry_point	current_backend_implementation	current_sdk_implementation	current_frontend_implementation	persistence_requirements	generated_contracts	current_tests	behavior_that_must_survive	implementation_details_that_may_be_replaced	target_pr	confidence	evidence
§1 §7	Collect goal, audience/scenario, primary input, expected output and key constraints conversationally	POST /agent/run with draft_agent_id	agent_service revision preprocessing and deterministic workflow gate	Search tools gated until requirements confirmed	Chat turns plus RequirementsSummaryCard	Five canonical fields and collection status	Request/Card/state schemas	workflow service/catalog tests; nl2agentCards	Multi-turn clarification and correction; no LLM mutation	Prompt wording and JSON layout	PR1_CORE_WORKFLOW	HIGH	Design §1 §7 §8 §10.1; backend/agents/nl2agent_workflow.py
§10.1	Register normalized requirements summary with SHA-256 fingerprint	POST requirements/register	Workflow service/repository normalize and store summary	None	RequirementsSummaryCard registers on mount	Summary and fingerprint	Request/response and Card schema	workflow tests; registrationLifecycle	Idempotent same summary; changed summary replaces current	Helper location and endpoint plumbing	PR1_CORE_WORKFLOW	HIGH	Design §10.1
§10.1	Confirm requirements only by explicit current Card button	POST requirements/confirm	Confirm checks current fingerprint	None	Confirm disabled until registration	Text yes/continue is not confirmation	Confirm request/response	session catalog tests; nl2agentCards	Stale Card cannot confirm new summary	Separate registration/confirmation methods	PR1_CORE_WORKFLOW	HIGH	Design §10.1
§10.1 §11.4	Revision invalidates old summary confirmation and Delivery cycle	POST /agent/run correction	process_requirements_revision_text mutates before run	None	Provider reloads revised state	Requirements and matching Delivery reset atomically	State response	requirements persistence; persistedCardState	Correction returns to collecting without rolling back unrelated facts	Intent classifier details	PR1_CORE_WORKFLOW	HIGH	Design §7 §8 §10.1
§10.2	Choose one primary available LLM and up to four ordered fallbacks	PUT models	Validates tenant/type/availability/duplicates/order; writes Draft	None	ModelSelectionCard loads available LLMs	Draft business model and ordered model_ids	Model request/response	model limits; workflow; Cards	Maximum five and order preserved	Compensation and duplicate confirmation projection	PR1_CORE_WORKFLOW	HIGH	Design §10.2
§10.2	Reject requested output tokens above primary model capability	Model selection and Finalize	Model capability validation at selection and publication	None	Model form/final review	Request and Draft runtime fields	OpenAPI	model limit/publication tests	Backend and Finalize revalidation	Exact helper placement	PR1_CORE_WORKFLOW	HIGH	Design §10.2
§3 §6	Create distinct tenant Runner and version-0 Draft	POST session/start	Seed/readiness service and transaction create draft_*	Runtime carries Runner and target Draft separately	Builder entries store handoff	runner_agent_id and draft_agent_id	Session start/AgentRequest	seed; persistence; recovery tests	Runner executes; Draft alone receives config	Seed facade/dependency bundles	PR1_CORE_WORKFLOW	HIGH	Design §3 §6.1
§3 §8	Validate tenant user Runner Draft Conversation and active identity on every run	POST /agent/run	validate_nl2agent_run_context resolves owned Session	Context receives validated IDs	Send uses recovered persisted IDs	Durable identity tuple	AgentRequest	agent/lifecycle/send tests	Reject cross-owner/cross-conversation/terminal runs	Name checks and call chain	PR1_CORE_WORKFLOW	HIGH	Design §3 §8 §14.1
§5.4 §6.1	Start Draft Conversation Session and catalog atomically	POST session/start	Caller-owned SQL transaction; Redis warmed after commit	None	Builder entry	Session row plus catalog	Session start response	session persistence/db tests	No orphan visible aggregate	Redis projection and snapshot table	PR1_CORE_WORKFLOW	HIGH	Design §5.4 §6.1
§6.2	Recover active Session by Conversation after refresh/switch	GET by-conversation; GET state	Owner-scoped lifecycle/state services	None	Recovery hook + Provider scope	Session/workflow and domain records	Session/state responses	lifecycle; discovery; recovery tests	Never reuse another Conversation's Draft	sessionStorage maps and projections	PR1_CORE_WORKFLOW	HIGH	Design §6.2 §12
