path	subsystem	document_sections	user_visible_behavior	current_role	existing_nexent_equivalent	target_pr	port_strategy	security_classification	tests_to_keep	tests_to_rewrite	tests_to_drop	generated	confidence	evidence	notes
.claude/settings.local.json	repository metadata	N/A	None	Local/tool metadata	None	OMIT	OMIT_FROM_CLEAN_BRANCH	NONE	None	None	All	no	HIGH	git diff 4e7d9fe..5375990a -- .claude/settings.local.json; design N/A	Not product behavior
.gitignore	repository metadata	N/A	None	Local/tool metadata	None	OMIT	OMIT_FROM_CLEAN_BRANCH	NONE	None	None	All	no	HIGH	git diff 4e7d9fe..5375990a -- .gitignore; design N/A	Not product behavior
backend/agents/create_agent_info.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/agents/create_agent_info.py; design §3-14	-
backend/agents/default_agents/nl2agent.json	Runner/prompt	§3 §8	Builder readiness and bilingual guided flow	Runner definition/provisioning/prompt	Agent seed and Prompt template services	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Exactly three read-only tools and bilingual behavior	Provisioner/domain prompt contract	Wrapper mock details	no	HIGH	git diff 4e7d9fe..5375990a -- backend/agents/default_agents/nl2agent.json; design §3 §8	-
backend/agents/nl2agent_session_catalog.py	workflow persistence	§5 §6 §7 §11.3	Durable recovery CAS batches and Delivery	PostgreSQL/Redis state repository and models	SQLAlchemy transaction/revision update	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Owner isolation CAS terminal recovery batches Delivery	PostgreSQL-only aggregate/lease fixtures	Redis/cache/shared-snapshot mechanics	no	HIGH	git diff 4e7d9fe..5375990a -- backend/agents/nl2agent_session_catalog.py; design §5 §6 §7 §11.3	Split later PR behaviors through one aggregate foundation
backend/agents/nl2agent_session_store.py	workflow persistence	§5 §6 §7 §11.3	Durable recovery CAS batches and Delivery	PostgreSQL/Redis state repository and models	SQLAlchemy transaction/revision update	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Owner isolation CAS terminal recovery batches Delivery	PostgreSQL-only aggregate/lease fixtures	Redis/cache/shared-snapshot mechanics	no	HIGH	git diff 4e7d9fe..5375990a -- backend/agents/nl2agent_session_store.py; design §5 §6 §7 §11.3	Split later PR behaviors through one aggregate foundation
backend/agents/nl2agent_workflow.py	core workflow/finalize	§7 §10.1 §10.2 §10.6	Requirements models identity review Finalize	Workflow/evaluator/service/Card	Existing Agent/model/resource transaction services	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Stage gates persisted truth draft_ready	Facade/projection/mock details	Duplicate implementation assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/agents/nl2agent_workflow.py; design §7 §10.1 §10.2 §10.6	-
backend/apps/agent_app.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/apps/agent_app.py; design §3-14	-
backend/apps/config_app.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/apps/config_app.py; design §3-14	-
backend/apps/conversation_management_app.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/apps/conversation_management_app.py; design §3-14	-
backend/apps/nl2agent_app.py	API boundary	§13	NL2Agent actions	FastAPI router/error mapping	FastAPI auth and AppException mapping	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Auth strict routes structured errors	Narrow service calls	Facade mock wiring	no	HIGH	git diff 4e7d9fe..5375990a -- backend/apps/nl2agent_app.py; design §13	-
backend/apps/runtime_app.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/apps/runtime_app.py; design §3-14	-
backend/consts/const.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/const.py; design §3-14	-
backend/consts/error_code.py	API contracts/errors	§13	Strict typed APIs and stable errors	Request/response/error definitions	Pydantic and AppException framework	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Strict IDs shapes error semantics	Generate/narrow DTOs	Repeated wrappers	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/error_code.py; design §13	-
backend/consts/error_message.py	API contracts/errors	§13	Strict typed APIs and stable errors	Request/response/error definitions	Pydantic and AppException framework	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Strict IDs shapes error semantics	Generate/narrow DTOs	Repeated wrappers	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/error_message.py; design §13	-
backend/consts/exceptions.py	API contracts/errors	§13	Strict typed APIs and stable errors	Request/response/error definitions	Pydantic and AppException framework	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Strict IDs shapes error semantics	Generate/narrow DTOs	Repeated wrappers	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/exceptions.py; design §13	-
backend/consts/model.py	API contracts/errors	§13	Strict typed APIs and stable errors	Request/response/error definitions	Pydantic and AppException framework	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Strict IDs shapes error semantics	Generate/narrow DTOs	Repeated wrappers	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/model.py; design §13	-
backend/consts/nl2agent_response.py	API contracts/errors	§13	Strict typed APIs and stable errors	Request/response/error definitions	Pydantic and AppException framework	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Strict IDs shapes error semantics	Generate/narrow DTOs	Repeated wrappers	no	HIGH	git diff 4e7d9fe..5375990a -- backend/consts/nl2agent_response.py; design §13	-
backend/database/agent_db.py	existing database adapters	§3 §5 §10 §14	Transactional tenant-scoped domain persistence	Existing DB function extension	Same existing database module	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Caller transaction and tenant scope	Minimal repository APIs	NL2Agent-specific convenience duplicates	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/agent_db.py; design §3 §5 §10 §14	-
backend/database/conversation_db.py	existing database adapters	§3 §5 §10 §14	Transactional tenant-scoped domain persistence	Existing DB function extension	Same existing database module	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Caller transaction and tenant scope	Minimal repository APIs	NL2Agent-specific convenience duplicates	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/conversation_db.py; design §3 §5 §10 §14	-
backend/database/db_models.py	workflow persistence	§5 §6 §7 §11.3	Durable recovery CAS batches and Delivery	PostgreSQL/Redis state repository and models	SQLAlchemy transaction/revision update	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Owner isolation CAS terminal recovery batches Delivery	PostgreSQL-only aggregate/lease fixtures	Redis/cache/shared-snapshot mechanics	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/db_models.py; design §5 §6 §7 §11.3	Split later PR behaviors through one aggregate foundation
backend/database/nl2agent_session_db.py	workflow persistence	§5 §6 §7 §11.3	Durable recovery CAS batches and Delivery	PostgreSQL/Redis state repository and models	SQLAlchemy transaction/revision update	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Owner isolation CAS terminal recovery batches Delivery	PostgreSQL-only aggregate/lease fixtures	Redis/cache/shared-snapshot mechanics	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/nl2agent_session_db.py; design §5 §6 §7 §11.3	Split later PR behaviors through one aggregate foundation
backend/database/remote_mcp_db.py	MCP installation/binding	§9.3 §10.4 §10.5 §14	MCP search configuration install health discovery bind/skip	MCP integration/service/UI	remote_mcp_service, Tool discovery and ToolInstance persistence	PR4_INSTALLATION_AND_BINDING	REWRITE_USING_EXISTING_NEXENT_SERVICE	MIXED	Install/discover/bind/idempotency/recovery	Redis/wrapper/mock-call details	Advanced-only or duplicate assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/remote_mcp_db.py; design §9.3 §10.4 §10.5 §14	Baseline correctness remains
backend/database/skill_db.py	Skill catalog/installation	§9.4 §10.5 §14	Official/local Skill search install recovery and binding	Skill provider/service/UI integration	Existing SkillService, official ZIP installer and SkillInstance	PR3_ONLINE_CATALOGS	REWRITE_USING_EXISTING_NEXENT_SERVICE	BASELINE_CORRECTNESS	Tenant scope resource_missing install/bind/retry	Wrapper mocks and status projection	Duplicate implementation assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/skill_db.py; design §9.4 §10.5 §14	-
backend/database/tool_db.py	existing database adapters	§3 §5 §10 §14	Transactional tenant-scoped domain persistence	Existing DB function extension	Same existing database module	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Caller transaction and tenant scope	Minimal repository APIs	NL2Agent-specific convenience duplicates	no	HIGH	git diff 4e7d9fe..5375990a -- backend/database/tool_db.py; design §3 §5 §10 §14	-
backend/prompts/nl2agent_system_prompt_en.yaml	Runner/prompt	§3 §8	Builder readiness and bilingual guided flow	Runner definition/provisioning/prompt	Agent seed and Prompt template services	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Exactly three read-only tools and bilingual behavior	Provisioner/domain prompt contract	Wrapper mock details	no	HIGH	git diff 4e7d9fe..5375990a -- backend/prompts/nl2agent_system_prompt_en.yaml; design §3 §8	-
backend/prompts/nl2agent_system_prompt_zh.yaml	Runner/prompt	§3 §8	Builder readiness and bilingual guided flow	Runner definition/provisioning/prompt	Agent seed and Prompt template services	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Exactly three read-only tools and bilingual behavior	Provisioner/domain prompt contract	Wrapper mock details	no	HIGH	git diff 4e7d9fe..5375990a -- backend/prompts/nl2agent_system_prompt_zh.yaml; design §3 §8	-
backend/pyproject.toml	generated contracts/test dependency	§11 §15 §17	Canonical Backend Card validation and test dependencies	Declares jsonschema and prototype fakeredis	Existing dependency management	PR5_DELIVERY_RECOVERY_AND_RELEASE	CONSOLIDATE	BASELINE_CORRECTNESS	jsonschema Card validation	Remove fakeredis with Redis tests	fakeredis dependency	no	HIGH	git diff 4e7d9fe..5375990a -- backend/pyproject.toml; design §11 §15 §17	Keep jsonschema; omit fakeredis
backend/scripts/export_nl2agent_openapi.py	generated contracts	§11 §13 §15	Strict synchronized Card and API contracts	Canonical source/generator	FastAPI OpenAPI and contract generation	GENERATED	REGENERATE	BASELINE_CORRECTNESS	Schema/API behavior	Regeneration/drift tests	Snapshot-specific text	no	HIGH	git diff 4e7d9fe..5375990a -- backend/scripts/export_nl2agent_openapi.py; design §11 §13 §15	-
backend/services/agent_service.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/agent_service.py; design §3-14	-
backend/services/conversation_management_service.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/conversation_management_service.py; design §3-14	-
backend/services/nl2agent_catalog_service.py	online catalogs/search	§9.1 §9.3 §9.4 §9.5	Registry Community official search and trusted proof	Catalog adapter/search normalization	Existing Registry Community official Skill providers	PR3_ONLINE_CATALOGS	CONSOLIDATE	MIXED	Fail-soft bounded normalized exact batches	Inline catalog/Backend normalizer/unified proof	Shared snapshot/cache implementation	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_catalog_service.py; design §9.1 §9.3 §9.4 §9.5	-
backend/services/nl2agent_mcp_service.py	MCP installation/binding	§9.3 §10.4 §10.5 §14	MCP search configuration install health discovery bind/skip	MCP integration/service/UI	remote_mcp_service, Tool discovery and ToolInstance persistence	PR4_INSTALLATION_AND_BINDING	REWRITE_USING_EXISTING_NEXENT_SERVICE	MIXED	Install/discover/bind/idempotency/recovery	Redis/wrapper/mock-call details	Advanced-only or duplicate assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_mcp_service.py; design §9.3 §10.4 §10.5 §14	Baseline correctness remains
backend/services/nl2agent_mcp_url_security.py	MCP network security	§14.3	Validate MCP destinations	Custom URL resolver and pinned transport	Existing verified HTTP/MCP client	PR4_INSTALLATION_AND_BINDING	CONSOLIDATE	MIXED	HTTP/HTTPS userinfo/TLS baseline	Baseline fallback tests	Deferred pinning/private/proxy/redirect tests	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_mcp_url_security.py; design §14.3	Advanced controls deferred, baseline retained
backend/services/nl2agent_publication_service.py	core workflow/finalize	§7 §10.1 §10.2 §10.6	Requirements models identity review Finalize	Workflow/evaluator/service/Card	Existing Agent/model/resource transaction services	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Stage gates persisted truth draft_ready	Facade/projection/mock details	Duplicate implementation assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_publication_service.py; design §7 §10.1 §10.2 §10.6	-
backend/services/nl2agent_resource_service.py	local resources	§10.3	Atomic local Apply/Skip	Resource application service	ToolInstance/SkillInstance persistence	PR2_LOCAL_RESOURCES	REWRITE_USING_EXISTING_NEXENT_SERVICE	BASELINE_CORRECTNESS	Strict config atomicity idempotency	One transaction no Redis reservation	Mock reconciliation details	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_resource_service.py; design §10.3	-
backend/services/nl2agent_seed_service.py	Runner/prompt	§3 §8	Builder readiness and bilingual guided flow	Runner definition/provisioning/prompt	Agent seed and Prompt template services	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Exactly three read-only tools and bilingual behavior	Provisioner/domain prompt contract	Wrapper mock details	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_seed_service.py; design §3 §8	-
backend/services/nl2agent_service.py	service facade	§3-13	Orchestrates all feature actions	Large facade/dependency assembly	Existing Agent/Conversation/model/resource services	PR1_CORE_WORKFLOW	CONSOLIDATE	BASELINE_CORRECTNESS	Observable orchestration outcomes	Route to narrow services/repositories	Pass-through aliases/dependency bundle assertions	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_service.py; design §3-13	-
backend/services/nl2agent_session_lifecycle_service.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_session_lifecycle_service.py; design §3-14	-
backend/services/nl2agent_session_service.py	backend integration	§3-14	Core Builder runtime and service integration	Existing Backend extension	Existing service/application layer	PR1_CORE_WORKFLOW	PORT_MINIMAL	BASELINE_CORRECTNESS	Identity transaction behavior	Narrow clean-branch boundary	Prototype compatibility	no	HIGH	git diff 4e7d9fe..5375990a -- backend/services/nl2agent_session_service.py; design §3-14	-
