control	current_code	protected_behavior	classification	keep_or_defer	minimum_fallback	functional_impact	future_hardening_pr	evidence
Tenant and user Session ownership	backend/services/nl2agent_session_lifecycle_service.py; nl2agent_service.py	BASELINE_CORRECTNESS: prevents cross-tenant/user reads and mutations	KEEP_BASELINE	Keep	Every command resolves tenant+user+active Session before resource work	None; required normal isolation	N/A	Design §3 §6 §14.1; lifecycle tests
Runner Draft Conversation identity binding	backend/services/nl2agent_service.py validate_nl2agent_run_context	BASELINE_CORRECTNESS: prevents configuring wrong Draft through another Conversation/Runner	KEEP_BASELINE	Keep	Persist and validate all three IDs plus owner/status	None	N/A	Design §3 §8 §14.1
Terminal Session rejection	nl2agent_session_lifecycle_service.py; nl2agent_session_store.py	BASELINE_CORRECTNESS: prevents post-abandon/finalize mutation	KEEP_BASELINE	Keep	Owner-scoped active-status predicate on every run/action	None	N/A	Design §6.3; terminal tests
Tenant-scoped Tool lookup/binding	backend/services/nl2agent_resource_service.py; backend/database/tool_db.py	BASELINE_CORRECTNESS: prevents cross-tenant resource binding	KEEP_BASELINE	Keep	Resolve every Tool ID through tenant and trusted Session catalog	None	N/A	Design §14.1; resource tenant tests
Tenant-scoped Skill lookup/binding	backend/services/nl2agent_catalog_service.py; skill_db.py	BASELINE_CORRECTNESS	KEEP_BASELINE	Keep	Canonical tenant Skill resolution plus active Session	None	N/A	Design §10.5 §14.1
Tenant-scoped MCP lookup/binding	backend/services/nl2agent_mcp_service.py; remote_mcp_db.py	BASELINE_CORRECTNESS	KEEP_BASELINE	Keep	Resolve MCP and discovered Tool IDs by tenant and operation provenance	None	N/A	Design §10.4 §14.1
Strict request models and positive IDs	backend/consts/model.py	BASELINE_CORRECTNESS: rejects coercion/extras/malformed references	KEEP_BASELINE	Keep	extra=forbid; strict positive IDs; type/shape checks	None	N/A	Design §13 §14.4; contract/model tests
Card JSON Schema and duplicate/type/ID validation	contracts/nl2agent-card.schema.json; backend/utils/nl2agent_card_validation.py	BASELINE_CORRECTNESS: prevents malformed or ambiguous actions	KEEP_BASELINE	Keep	Canonical schema on Backend and Frontend; one logical Card of a type	None	N/A	Design §11; card contract tests
Latest completed assistant message validation	conversation_db helpers; nl2agent_workflow_service.py	BASELINE_CORRECTNESS: stale/history Card cannot cause effects	KEEP_BASELINE	Keep	Validate conversation, role, completion, latest message and expected Card	None	N/A	Design §11.3
Trusted recommendation proof	nl2agent_session_catalog.py; SDK record callback	BASELINE_CORRECTNESS: prevents model/client resource forgery	KEEP_BASELINE	Keep	Persist exact ordered batch before output; equality at registration/action/delivery	None	N/A	Design §9.5; trusted batch tests
Explicit user action for side effects	workflow allowed actions; frontend Cards	BASELINE_CORRECTNESS and product semantics	KEEP_BASELINE	Keep	LLM Tools remain read-only; install/bind/confirm/finalize endpoints require Card action	None	N/A	Design §1 §7 §10
Finalize-time model/resource revalidation	nl2agent_publication_service.py; summary service	BASELINE_CORRECTNESS: prevents stale/dangling/cross-tenant Draft	KEEP_BASELINE	Keep	Re-read available LLM and enabled tenant resources inside Finalize transaction	None	N/A	Design §10.6 §14.1
Secret omission from prompt and workflow	create_agent_info.py; catalog/resource/MCP redaction	BASELINE_CORRECTNESS: prevents credential disclosure	KEEP_BASELINE	Keep	Never serialize secret values; expose configured boolean only	None	N/A	Design §8 §14.2
Secret omission from logs/keys/results	nl2agent_catalog_service.py; nl2agent_mcp_service.py public result/key builders	BASELINE_CORRECTNESS	KEEP_BASELINE	Keep	Secret-free fingerprints/keys; redacted errors/results; designated credential path	None	N/A	Design §10.3 §10.4 §14.2
Idempotent local Apply/binding	resource service reservations and existing unique writes	BASELINE_CORRECTNESS: retry must not duplicate/corrupt bindings	KEEP_BASELINE	Keep	Request fingerprint and one DB transaction for bindings+batch	None	N/A	Design §5.4 §10.3
Idempotent MCP/Skill installation	nl2agent_mcp_service.py; nl2agent_catalog_service.py	BASELINE_CORRECTNESS: retry/crash recovery	KEEP_BASELINE	Keep	Stable secret-free key, provenance lookup, durable checkpoint/result	None	N/A	Design §5.4 §10.4 §10.5
Installation concurrency and token ownership	Redis token lock/heartbeat in nl2agent_session_catalog.py	MIXED: correctness prevents duplicate side effects; lock exhaustion is security	KEEP_BASELINE	Replace mechanism	Durable operation lease + owner-checked renew/release + short DB advisory lock	No normal functional loss; concurrency remains safe	POST_RELEASE_INSTALL_ABUSE_LIMITS	Design §5.4 §14.4; lock tests
Transaction/compensation	resource/MCP/publication/session services	BASELINE_CORRECTNESS: prevents partial corruption	KEEP_BASELINE	Keep/strengthen	DB writes plus Session state in one transaction; explicit external compensation/checkpoints	Improves retry behavior	N/A	Design §5.4 §10
Remote URL scheme and embedded credentials	nl2agent_mcp_url_security.py _parse_remote_mcp_url	MIXED: input correctness plus credential/SSRF mitigation	KEEP_BASELINE	Keep baseline	Allow only HTTP/HTTPS; reject userinfo; TLS verification on HTTPS	Unsupported malformed URLs still fail as before	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3; URL security tests
Private loopback link-local destination blocking	nl2agent_mcp_url_security.py resolve_remote_mcp_target	ADVANCED_SECURITY: mitigates SSRF to internal services	DEFER_ADVANCED	Defer	Keep scheme/userinfo validation; document deployment egress controls; warn administrators	Normal public MCP functionality unchanged; private MCP may become reachable if network permits	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3; explicit scope deferral
DNS snapshot pinning	nl2agent_mcp_url_security.py ResolvedMcpTarget and pinned transport	ADVANCED_SECURITY: mitigates DNS answer changes	DEFER_ADVANCED	Defer	Resolve/connect through standard verified HTTP client; no custom pinning	No intended normal behavior change	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3; explicit scope deferral
DNS rebinding protection	nl2agent_mcp_url_security.py resolve all addresses + pinning	ADVANCED_SECURITY: prevents public-to-private rebinding	DEFER_ADVANCED	Defer	Standard DNS/TLS plus deployment egress controls	No intended normal behavior change; SSRF resistance reduced	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3
Custom pinned transport with Host/SNI preservation	_PinnedNetworkBackend; _PinnedAsyncHttpTransport	ADVANCED_SECURITY: safely connects pinned IP while verifying original host	DEFER_ADVANCED	Defer	Use existing Nexent HTTP transport with TLS verify=true	Removes custom transport risk; ordinary HTTPS works	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3
Proxy and trust_env restrictions	build_pinned_httpx_client_factory	ADVANCED_SECURITY: prevents environment proxy routing/policy bypass	DEFER_ADVANCED	Defer	Use platform-standard client configuration; never accept proxy config from Card/LLM	May honor deployment proxy as other Nexent traffic does	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3
Cross-host/port redirect restriction	pinned client/redirect validation	ADVANCED_SECURITY: prevents validated endpoint redirecting to sensitive host	DEFER_ADVANCED	Defer	Prefer redirects disabled for install health/discovery if existing service permits; otherwise standard bounded redirects	Tightest fallback may reject redirect-dependent MCP; standard fallback preserves normal service behavior	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3; MIXED operational choice
Unix socket prohibition	custom transport path	ADVANCED_SECURITY: blocks local socket reachability	DEFER_ADVANCED	Defer	Do not expose socket/transport fields in trusted install option contract	No normal HTTP MCP impact	POST_RELEASE_MCP_NETWORK_HARDENING	Design §14.3
Marketplace page/item/time bounds	nl2agent_catalog_service.py _load_marketplace_pages	MIXED: finite provider behavior is correctness; strict ceilings mitigate abuse	SIMPLIFY	Keep finite loading; simplify values	Require page termination, timeout and absolute sane cap; omit security-tuned byte accounting initially	Very large catalogs may truncate but normal search remains	POST_RELEASE_CATALOG_ABUSE_HARDENING	Design §9.3 §14.4
Marketplace byte budget	nl2agent_catalog_service.py	MIXED leaning ADVANCED_SECURITY: memory abuse mitigation	SIMPLIFY	Defer exact 5 MiB policy	Provider timeout, page/item cap, response-size limit from shared HTTP stack	No change for ordinary responses	POST_RELEASE_CATALOG_ABUSE_HARDENING	Design §9.3 §14.4
